"[run number]","wolf-gain-from-food","fix-initialization?","move-one-sheep?","hunt-wolves?","l10-too-many-sheep","initialization-seed","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","max-sheep","sheep-reproduce","[step]","count sheep","count wolves","mn-sheep","mx-sheep","mn-wolves","mx-wolves","ticks"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","542","0","339494","0","2576730","1","339494","542"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","392","0","2249","0","4930","2","2249","392"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","535","50729","0","1","50729","0","509","535"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","380","51386","0","9","51386","0","395","380"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","405","51039","0","5","51039","0","508","405"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","426","50022","0","2","50022","0","606","426"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","374","0","2797","0","8951","3","2797","374"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","387","50040","0","9","50040","0","406","387"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","389","50570","0","7","50570","0","459","389"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","410","51661","0","7","51661","0","457","410"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","445","51944","0","1","51944","0","484","445"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","408","51437","0","4","51437","0","514","408"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","376","51575","0","16","51575","0","410","376"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","383","51630","0","16","51630","0","390","383"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","446","51944","0","1","51944","0","595","446"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","413","51202","0","4","51202","0","400","413"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","425","50045","0","3","50045","0","493","425"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","356","0","1805","0","2678","4","1805","356"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","410","51444","0","2","51444","0","648","410"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","167","0","46","0","529","46","509","167"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","407","51558","0","2","51558","0","498","407"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","467","51991","0","2","51991","0","587","467"
