"[run number]","wolf-gain-from-food","fix-initialization?","move-one-sheep?","hunt-wolves?","l10-too-many-sheep","initialization-seed","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","max-sheep","sheep-reproduce","[step]","count sheep","count wolves","mn-sheep","mx-sheep","mn-wolves","mx-wolves","ticks"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","148","0","916","0","1012","26","933","148"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","446","50703","0","1","50703","0","538","446"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","401","50274","0","6","50274","0","491","401"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","133","0","566","0","704","32","732","133"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","408","50881","0","3","50881","0","430","408"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","455","50543","0","4","50543","0","462","455"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","510","10241994","582","16","10241994","1","582","510"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","453","50292","0","2","50292","0","533","453"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","521","10035942","103069","17","10035942","1","103069","521"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","382","51284","0","11","51284","0","452","382"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","428","0","7152","0","40563","1","7152","428"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","404","0","5453","0","29973","1","5453","404"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","392","50947","0","8","50947","0","482","392"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","362","0","1687","0","2570","3","1687","362"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","380","50536","0","5","50536","0","468","380"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","389","50048","0","10","50048","0","433","389"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","518","10031542","25152","15","10031542","1","25152","518"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","393","0","2343","0","5133","1","2343","393"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","339","0","1189","0","1522","6","1219","339"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","428","51543","0","2","51543","0","493","428"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","381","51158","0","7","51158","0","504","381"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","153","0","257","0","586","37","590","153"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","164","0","50","0","511","41","541","164"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","388","51953","0","8","51953","0","477","388"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","160","0","220","0","636","42","665","160"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","386","50758","0","3","50758","0","465","386"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","385","51976","0","11","51976","0","433","385"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","153","0","366","0","789","36","812","153"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","385","51638","0","6","51638","0","565","385"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","387","51372","0","6","51372","0","435","387"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","148","0","272","0","489","43","528","148"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","382","50010","0","18","50010","0","374","382"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","411","50797","0","5","50797","0","517","411"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","369","51964","0","8","51964","0","409","369"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","379","51850","0","9","51850","0","476","379"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","139","0","758","0","907","27","917","139"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","397","51771","0","6","51771","0","498","397"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","437","50423","0","3","50423","0","625","437"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","374","51022","0","7","51022","0","374","374"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","435","51943","0","1","51943","0","563","435"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","348","0","1215","0","1390","2","1215","348"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","346","0","1118","0","1310","17","1185","346"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","160","0","119","0","572","38","632","160"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","167","0","208","0","725","39","756","167"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","415","50492","0","2","50492","0","539","415"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","159","0","169","0","628","35","611","159"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","393","0","2555","0","7322","1","2555","393"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","162","0","232","0","639","35","631","162"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","451","50003","0","1","50003","0","450","451"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","401","51267","0","6","51267","0","405","401"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","297","0","852","0","927","22","883","297"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","510","50425","0","1","50425","0","707","510"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","393","50721","0","7","50721","0","441","393"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","147","0","214","0","542","31","514","147"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","431","51070","0","4","51070","0","504","431"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","397","50655","0","2","50655","0","561","397"
"1","20","false","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","388","51113","0","7","51113","0","451","388"
